id,Country/Territory,Year of MFN applied tariff,Binding coverage | Bound in %,Simple average | Bound,Simple average | MFN applied,Duty-free | Bound,Duty-free | MFN applied,Non-ad valorem duties | Bound,Non-ad valorem duties | MFN applied,Duties > 15% | Bound,Duties > 15% | MFN applied,Duties > 3 * AVG | Bound,Duties > 3 * AVG | MFN applied,Concessions not yet implemented in 2024,Maximum duty | Bound,Maximum duty | MFN applied,Number of distinct duty rates | Bound,Number of distinct duty rates | MFN applied,Coefficient of variation | Bound,Coefficient of variation | MFN applied,Number of MFN applied tariff lines,Country/Territory.1,N
554,New Zealand                                                                                                                                           ,2024,100.0,10.2,2.0,49.0,   65.1,3.6,0.4,32.2,0.0,6.0,5.2,0.0,514.0,     45,84.0,5.0,135.0,135.0,7174.0,New Zealand,I
558,Nicaragua                                                                                                                                             ,2024,100.0,40.5,4.9,2.1,   55.5,0.0,0.0,97.8,0.0,0.0,19.1,0.0,100.0,     15,7.0,4.0,24.0,114.0,6923.0,Nicaragua,N
562,Niger                                                                                                                                                 ,2024,96.4,38.6,11.4,0.8,    2.0,0.0,0.0,73.1,36.1,0.0,0.4,0.0,50.0,     35,11.0,5.0,50.0,60.0,5442.0,Niger,N
566,Nigeria                                                                                                                                               ,2024,6.7,49.6,11.4,0.0,    2.0,0.0,0.0,6.7,36.1,0.1,0.4,0.0,150.0,     35,7.0,5.0,32.0,60.0,5442.0,Nigeria,N
807,North Macedonia                                                                                                                                       ,2024,100.0,6.0,5.4,40.4,   45.2,0.2,0.2,8.1,7.6,2.4,7.5,0.0,28.0,     28,29.0,55.0,104.0,116.0,8042.0,North Macedonia,I
578,Norway                                                                                                                                                ,2024,100.0,2.9,0.4,53.1,   95.8,2.4,0.1,0.0,0.0,11.5,4.1,0.0,344.0,    170,75.0,11.0,257.0,718.0,5962.0,Norway,I
512,Oman                                                                                                                                                  ,2024,100.0,11.8,4.7,7.1,    8.5,0.0,0.3,4.5,0.1,0.0,0.1,0.0,20.0,    100,9.0,6.0,52.0,88.0,6689.0,Oman,N
586,Pakistan                                                                                                                                              ,2024,98.9,55.2,9.9,0.0,   35.1,0.0,0.1,95.3,37.8,0.0,2.7,0.0,100.0,    100,14.0,16.0,32.0,110.0,6679.0,Pakistan,N
585,Palau                                                                                                                                                 ,2024,,,0.1,,   99.5,,0.0,,0.2,,0.5,,,     20,,4.0,,1731.0,4972.0,Palau,
591,Panama                                                                                                                                                ,2024,100.0,21.8,4.0,4.6,   61.1,0.2,0.0,64.7,0.1,0.0,13.5,0.0,81.0,     81,30.0,13.0,56.0,117.0,8146.0,Panama,N
598,Papua New Guinea                                                                                                                                      ,2024,100.0,31.1,2.8,0.0,   81.2,0.1,0.4,69.7,3.8,0.4,18.0,0.0,100.0,     50,14.0,10.0,57.0,226.0,5137.0,Papua New Guinea,N
600,Paraguay                                                                                                                                              ,2024,100.0,33.5,8.6,0.0,   31.5,0.0,0.0,95.1,22.1,0.0,0.4,0.0,35.0,     35,7.0,48.0,23.0,99.0,9428.0,Paraguay,N
604,Peru                                                                                                                                                  ,2023,100.0,29.4,2.3,2.1,   71.2,0.0,0.0,97.9,0.0,0.0,10.5,0.0,30.0,     11,2.0,3.0,19.0,175.0,6914.0,Peru,N
608,Philippines                                                                                                                                           ,2024,62.7,22.4,5.4,5.7,   14.8,0.0,0.0,49.3,1.7,0.0,1.7,0.0,50.0,     30,12.0,23.0,67.0,109.0,10051.0,Philippines,N
634,Qatar                                                                                                                                                 ,2024,100.0,13.9,4.6,3.6,    8.5,0.0,0.0,16.2,0.0,0.0,0.0,0.0,30.0,    100,14.0,3.0,41.0,78.0,6575.0,Qatar,N
643,Russian Federation                                                                                                                                    ,2024,100.0,7.1,6.1,3.4,   16.3,7.0,6.5,0.9,0.7,0.1,0.2,0.0,72.0,     47,120.0,135.0,56.0,70.0,10528.0,Russian Federation,I
646,Rwanda                                                                                                                                                ,2024,100.0,91.8,12.2,0.8,   42.8,0.0,0.4,97.1,36.8,0.0,0.2,0.0,100.0,    100,14.0,13.0,31.0,104.0,5161.0,Rwanda,N
659,Saint Kitts and Nevis                                                                                                                                 ,,94.4,70.9,,0.0,,0.0,,94.4,,0.0,,0.0,170.0,,10.0,,12.0,,,Saint Kitts and Nevis,N
662,Saint Lucia                                                                                                                                           ,,99.4,56.4,,0.0,,0.0,,99.4,,0.6,,0.0,206.0,,30.0,,39.0,,,Saint Lucia,N
670,Saint Vincent and the Grenadines                                                                                                                      ,2023,99.7,57.1,9.6,0.0,    8.3,0.0,0.0,99.7,22.8,0.0,5.2,0.0,206.0,     40,31.0,9.0,40.0,91.0,5893.0,Saint Vincent and the Grenadines,N
882,Samoa                                                                                                                                                 ,,100.0,20.5,,0.0,,0.0,,50.7,,0.0,,0.0,55.0,,16.0,,34.0,,,Samoa,N
682,"Saudi Arabia, Kingdom of                                                                                                                              ",2024,100.0,10.3,5.7,8.0,    8.4,0.1,0.0,0.5,0.5,0.0,0.5,0.0,20.0,    100,14.0,11.0,52.0,71.0,11062.0,"Saudi Arabia, Kingdom of",N
686,Senegal                                                                                                                                               ,2024,100.0,30.0,11.4,0.0,    2.0,0.0,0.0,100.0,36.1,0.0,0.4,0.0,30.0,     35,2.0,5.0,1.0,60.0,5442.0,Senegal,N
892,Serbia                                                                                                                                                ,2024,,,6.2,,    1.1,,0.0,,8.1,,5.4,,,     30,,15.0,,93.0,8271.0,Serbia,
690,Seychelles                                                                                                                                            ,2024,100.0,8.6,1.8,49.8,   92.5,0.0,0.0,23.8,5.4,0.1,6.8,0.0,200.0,    200,7.0,8.0,136.0,538.0,5068.0,Seychelles,N
694,Sierra Leone                                                                                                                                          ,2024,100.0,48.5,11.4,0.0,    2.0,0.0,0.0,100.0,36.1,0.0,0.4,0.0,80.0,     35,7.0,5.0,12.0,60.0,5442.0,Sierra Leone,N
702,Singapore                                                                                                                                             ,2024,67.3,6.2,0.0,19.5,  100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,      0,5.0,1.0,81.0,0.0,9972.0,Singapore,N
90,Solomon Islands                                                                                                                                       ,,100.0,79.4,,0.0,,1.0,,97.8,,0.0,,0.0,247.0,,12.0,,16.0,,,Solomon Islands,I
706,Somalia                                                                                                                                               ,2024,,,14.9,,      .,,0.0,,38.9,,0.0,,,     35,,6.0,,60.0,4695.0,Somalia,
710,South Africa                                                                                                                                          ,2024,92.9,15.6,7.4,12.8,   62.7,0.0,0.9,32.9,19.8,0.6,9.0,0.0,50.0,    473,15.0,41.0,69.0,154.0,7252.0,South Africa,N
728,South Sudan                                                                                                                                           ,2024,,,11.2,,    0.2,,0.0,,15.9,,0.0,,,     30,,7.0,,44.0,4900.0,South Sudan,
144,Sri Lanka                                                                                                                                             ,2024,31.0,23.0,6.5,0.2,   57.4,0.2,13.1,16.1,23.9,0.1,23.8,0.0,100.0,    430,15.0,138.0,81.0,174.0,7027.0,Sri Lanka,N
740,Suriname                                                                                                                                              ,2024,15.8,16.1,9.2,1.6,    3.7,0.1,0.0,9.0,21.1,0.0,2.8,0.0,40.0,     40,14.0,9.0,75.0,86.0,5263.0,Suriname,N
756,Switzerland                                                                                                                                           ,2024,99.7,1.8,0.0,20.8,   98.9,78.9,1.1,1.3,0.0,7.6,1.0,0.0,56.0,     44,638.0,18.0,188.0,2341.0,5020.0,Switzerland,I
158,Chinese Taipei                                                                                                                                        ,2024,100.0,5.0,4.8,31.1,   32.7,0.5,0.4,4.3,4.3,4.3,5.4,0.0,91.0,     61,116.0,101.0,114.0,118.0,7815.0,Chinese Taipei,I
762,Tajikistan                                                                                                                                            ,,100.0,7.5,,14.4,,0.0,,7.1,,0.6,,0.0,30.0,,17.0,,73.0,,,Tajikistan,N
834,Tanzania                                                                                                                                              ,2024,0.3,120.0,12.5,0.0,   42.1,0.0,1.4,0.3,38.4,0.0,0.2,0.0,120.0,     83,1.0,17.0,0.0,100.0,5159.0,Tanzania,N
764,Thailand                                                                                                                                              ,2024,73.1,24.0,7.0,5.3,   41.8,14.5,6.1,59.8,14.6,0.4,9.3,0.0,185.0,    138,71.0,38.0,59.0,156.0,9972.0,Thailand,I
626,Timor-Leste                                                                                                                                           ,2023,100.0,10.8,2.5,1.6,      .,0.0,1.0,4.3,0.0,2.2,0.3,3.7,80.0,     10,9.0,3.0,55.0,17.0,4679.0,Timor-Leste,N
768,Togo                                                                                                                                                  ,2024,0.9,80.0,11.4,0.0,    2.0,0.0,0.0,0.9,36.1,0.0,0.4,0.0,80.0,     35,1.0,5.0,0.0,60.0,5442.0,Togo,N
776,Tonga                                                                                                                                                 ,2024,100.0,17.3,11.1,0.0,   16.4,0.0,0.0,46.9,7.2,0.0,0.0,0.0,20.0,     20,4.0,5.0,14.0,63.0,4864.0,Tonga,N
780,Trinidad and Tobago                                                                                                                                   ,2023,100.0,50.4,6.4,0.8,   70.0,0.0,0.0,96.0,22.8,0.0,22.8,0.0,100.0,     68,11.0,20.0,22.0,153.0,5434.0,Trinidad and Tobago,N
788,Tunisia                                                                                                                                               ,2024,51.6,40.8,17.6,0.0,   38.8,0.0,0.0,51.6,38.1,0.1,0.0,0.0,180.0,     50,28.0,9.0,39.0,85.0,13919.0,Tunisia,N
792,Türkiye                                                                                                                                               ,2024,43.0,17.2,13.6,3.3,   19.4,0.1,0.5,20.4,30.6,0.8,9.9,0.0,100.0,     82,225.0,229.0,73.0,118.0,9193.0,Türkiye,N
800,Uganda                                                                                                                                                ,2024,3.2,50.8,13.9,0.0,   42.3,0.0,1.5,3.2,38.4,0.0,0.6,0.0,80.0,    171,4.0,17.0,22.0,109.0,5163.0,Uganda,N
